,SectionID,std_type,hv_bus,lv_bus,sn_kva,vn_hv_kv,vn_lv_kv,vsc_percent,vscr_percent,pfe_kw,i0_percent,shift_degree,tp_side,tp_mid,tp_min,tp_max,tp_st_percent,tp_st_degree,tp_pos,parallel,df,in_service,FromNodeID,ToNodeID
0,Trafo 42552624,0.1 MVA 10/0.4 kV,57,3540,100.0,10.6,0.4,6.0,1.46,0.342,0.0,150.0,hv,0,-2,2,2.5,0.0,0,1,1.0,True,42878165,42882930
1,Trafo 214659777,0.4 MVA 20/0.4 kV,266,2736,400.0,20.0,0.4,6.0,1.425,1.35,0.3375,150.0,hv,0,-2,2,2.5,0.0,0,1,1.0,True,42935046,109996361
2,Trafo 42547360,0.4 MVA 20/0.4 kV,108,3231,400.0,20.0,0.4,6.0,1.425,1.35,0.3375,150.0,hv,0,-2,2,2.5,0.0,0,1,1.0,True,42934976,42934975
3,Trafo 42590298,0.4 MVA 20/0.4 kV,341,2726,400.0,20.0,0.4,6.0,1.425,1.35,0.3375,150.0,hv,0,-2,2,2.5,0.0,0,1,1.0,True,42980182,42932969
4,Trafo 42569691,0.4 MVA 20/0.4 kV,183,2658,400.0,20.0,0.4,6.0,1.425,1.35,0.3375,150.0,hv,0,-2,2,2.5,0.0,0,1,1.0,True,42922950,42889202
5,Trafo 42601525,0.4 MVA 20/0.4 kV,375,3038,400.0,20.0,0.4,6.0,1.425,1.35,0.3375,150.0,hv,0,-2,2,2.5,0.0,0,1,1.0,True,42958199,42980919
6,Trafo 42601480,0.4 MVA 20/0.4 kV,450,3263,400.0,20.0,0.4,6.0,1.425,1.35,0.3375,150.0,hv,0,-2,2,2.5,0.0,0,1,1.0,True,42952074,42951513
7,Trafo 42570236,0.4 MVA 20/0.4 kV,285,2729,400.0,20.0,0.4,6.0,1.425,1.35,0.3375,150.0,hv,0,-2,2,2.5,0.0,0,1,1.0,True,42878136,42888040
8,Trafo 42574811,0.4 MVA 20/0.4 kV,438,2522,400.0,20.0,0.4,6.0,1.425,1.35,0.3375,150.0,hv,0,-2,2,2.5,0.0,0,1,1.0,True,42923227,42886748
9,Trafo 42576786,0.4 MVA 20/0.4 kV,166,3189,400.0,20.0,0.4,6.0,1.425,1.35,0.3375,150.0,hv,0,-2,2,2.5,0.0,0,1,1.0,True,42894409,42894411
10,Trafo 42613835,0.63 MVA 20/0.4 kV,150,2516,630.0,20.0,0.4,6.0,1.206,1.65,0.2619,150.0,hv,0,-2,2,2.5,0.0,0,1,1.0,True,42951838,42951839
11,Trafo 42571862,0.63 MVA 20/0.4 kV,225,2727,630.0,20.0,0.4,6.0,1.206,1.65,0.2619,150.0,hv,0,-2,2,2.5,0.0,0,1,1.0,True,42891069,42891068
12,Trafo 42554475,0.63 MVA 20/0.4 kV,484,2731,630.0,20.0,0.4,6.0,1.206,1.65,0.2619,150.0,hv,0,-2,2,2.5,0.0,0,1,1.0,True,42891762,42905803
13,Trafo 42576832,0.63 MVA 20/0.4 kV,363,2734,630.0,20.0,0.4,6.0,1.206,1.65,0.2619,150.0,hv,0,-2,2,2.5,0.0,0,1,1.0,True,42910701,42910585
14,Trafo 42609997,0.63 MVA 20/0.4 kV,328,2530,630.0,20.0,0.4,6.0,1.206,1.65,0.2619,150.0,hv,0,-2,2,2.5,0.0,0,1,1.0,True,42984903,42951136
15,Trafo 42566172,0.63 MVA 20/0.4 kV,353,2529,630.0,20.0,0.4,6.0,1.206,1.65,0.2619,150.0,hv,0,-2,2,2.5,0.0,0,1,1.0,True,42951143,42883602
16,Trafo 160233892,0.63 MVA 20/0.4 kV,263,2730,630.0,20.0,0.4,6.0,1.206,1.65,0.2619,150.0,hv,0,-2,2,2.5,0.0,0,1,1.0,True,160232989,160233070
17,Trafo 42554248,0.63 MVA 20/0.4 kV,451,2535,630.0,20.0,0.4,6.0,1.206,1.65,0.2619,150.0,hv,0,-2,2,2.5,0.0,0,1,1.0,True,42935346,42957689
18,Trafo 42599301,0.63 MVA 20/0.4 kV,465,2531,630.0,20.0,0.4,6.0,1.206,1.65,0.2619,150.0,hv,0,-2,2,2.5,0.0,0,1,1.0,True,42935345,42957690
19,Trafo 42571987,0.63 MVA 20/0.4 kV,86,2737,630.0,20.0,0.4,6.0,1.206,1.65,0.2619,150.0,hv,0,-2,2,2.5,0.0,0,1,1.0,True,42905802,42883121
20,Trafo 42574167,0.63 MVA 20/0.4 kV,313,2760,630.0,20.0,0.4,6.0,1.206,1.65,0.2619,150.0,hv,0,-2,2,2.5,0.0,0,1,1.0,True,42902140,42902143
21,Trafo 214551743,0.63 MVA 20/0.4 kV,397,3035,630.0,20.0,0.4,6.0,1.206,1.65,0.2619,150.0,hv,0,-2,2,2.5,0.0,0,1,1.0,True,105470910,214550146
22,Trafo 42574494,0.63 MVA 20/0.4 kV,394,2517,630.0,20.0,0.4,6.0,1.206,1.65,0.2619,150.0,hv,0,-2,2,2.5,0.0,0,1,1.0,True,42945679,42881441
23,Trafo 42570745,0.63 MVA 20/0.4 kV,206,2527,630.0,20.0,0.4,6.0,1.206,1.65,0.2619,150.0,hv,0,-2,2,2.5,0.0,0,1,1.0,True,42971131,42895116
24,Trafo 214551803,0.63 MVA 20/0.4 kV,104,3037,630.0,20.0,0.4,6.0,1.206,1.65,0.2619,150.0,hv,0,-2,2,2.5,0.0,0,1,1.0,True,89562607,214550564
25,Trafo 42584798,0.63 MVA 20/0.4 kV,140,2532,630.0,20.0,0.4,6.0,1.206,1.65,0.2619,150.0,hv,0,-2,2,2.5,0.0,0,1,1.0,True,42964751,42907005
26,Trafo 42593301,0.63 MVA 20/0.4 kV,463,2761,630.0,20.0,0.4,6.0,1.206,1.65,0.2619,150.0,hv,0,-2,2,2.5,0.0,0,1,1.0,True,42939963,42973731
27,Trafo 42562793,0.63 MVA 20/0.4 kV,362,2010,630.0,20.0,0.4,6.0,1.206,1.65,0.2619,150.0,hv,0,-2,2,2.5,0.0,0,1,1.0,True,42957688,42875416
28,Trafo 42601686,0.63 MVA 20/0.4 kV,365,3034,630.0,20.0,0.4,6.0,1.206,1.65,0.2619,150.0,hv,0,-2,2,2.5,0.0,0,1,1.0,True,42981084,42981085
29,Trafo 42574408,0.63 MVA 20/0.4 kV,482,2519,630.0,20.0,0.4,6.0,1.206,1.65,0.2619,150.0,hv,0,-2,2,2.5,0.0,0,1,1.0,True,105471240,42881439
30,Trafo 90147807,0.63 MVA 20/0.4 kV,80,2528,630.0,20.0,0.4,6.0,1.206,1.65,0.2619,150.0,hv,0,-2,2,2.5,0.0,0,1,1.0,True,88865776,89563419
31,Trafo 42546221,0.63 MVA 20/0.4 kV,236,2659,630.0,20.0,0.4,6.0,1.206,1.65,0.2619,150.0,hv,0,-2,2,2.5,0.0,0,1,1.0,True,42894295,42966104
32,Trafo 42548089,0.63 MVA 20/0.4 kV,302,2524,630.0,20.0,0.4,6.0,1.206,1.65,0.2619,150.0,hv,0,-2,2,2.5,0.0,0,1,1.0,True,192652303,175586744
33,Trafo 148913047,0.63 MVA 20/0.4 kV,441,2521,630.0,20.0,0.4,6.0,1.206,1.65,0.2619,150.0,hv,0,-2,2,2.5,0.0,0,1,1.0,True,149020626,148912475
34,Trafo 175588234,0.63 MVA 20/0.4 kV,119,2520,630.0,20.0,0.4,6.0,1.206,1.65,0.2619,150.0,hv,0,-2,2,2.5,0.0,0,1,1.0,True,173092837,175587504
35,Trafo 42595956,10 MVA 20/10 kV,421,27,10000.0,20.0,10.0,6.0,1.05,8.9,0.0,150.0,hv,0,-2,2,2.5,0.0,0,1,1.0,True,42941227,42882789
36,Trafo 43961213,10 MVA 20/10 kV,196,37,10000.0,20.0,10.0,6.0,1.05,8.9,0.0,150.0,hv,0,-2,2,2.5,0.0,0,1,1.0,True,52086141,52034655
